seq,phase,object,f08,f0c,f14,f30,buf_base,cursor,end,capacity_guess,record_count_guess,trigger_pc,note
154,during_opcode,0x2A8264,0x2A8374,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
155,during_opcode,0x2A8264,0x2A8364,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
156,during_opcode,0x2A8264,0x2A836C,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
157,during_opcode,0x2A8264,0x2A836C,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
158,during_opcode,0x2A8264,0x2A8374,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
159,during_opcode,0x2A8264,0x2A8364,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
160,during_opcode,0x2A8264,0x2A836C,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
161,during_opcode,0x2A8264,0x2A836C,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
162,during_opcode,0x2A8264,0x2A8374,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
163,during_opcode,0x2A8264,0x2A8364,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
164,during_opcode,0x2A8264,0x2A836C,0x2A8354,0x2A84B4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
