role,source,offset,target_mrp,candidate_record_index_272,candidate_record_start,pre32_hex,post64_hex
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,926,gwy/nets.mrp,,,0000000000000000000000000000000000000000000000000000a10000000052,6777792f6e6574732e6d72700000000000000000000000000000000000000000000000000000000000007500000000576777792f6d6170766965772e6d727000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,974,gwy/mapview.mrp,,,0000000000000000000000000000000000000000000000000000750000000057,6777792f6d6170766965772e6d727000000000000000000000000000000000000000000000000000000076000000005e6777792f63656c6c6d61702e6d727000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1022,gwy/cellmap.mrp,,,000000000000000000000000000000000000000000000000000076000000005e,6777792f63656c6c6d61702e6d727000000000000000000000000000000000000000000000000000000077000000005b6777792f666f72756d2e6d7270000000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1070,gwy/forum.mrp,,,000000000000000000000000000000000000000000000000000077000000005b,6777792f666f72756d2e6d727000000000000000000000000000000000000000000000000000000000002d00000000566777792f62726f777365722e6d727000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1118,gwy/browser.mrp,,,00000000000000000000000000000000000000000000000000002d0000000056,6777792f62726f777365722e6d72700000000000000000000000000000000000000000000000000000001100000003f06777792f67627277636f72652e6d7270
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1166,gwy/gbrwcore.mrp,,,00000000000000000000000000000000000000000000000000001100000003f0,6777792f67627277636f72652e6d727000000000000000000000000000000000000000000000000000001110000003eb6777792f676272777368656c6c2e6d72
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1214,gwy/gbrwshell.mrp,,,00000000000000000000000000000000000000000000000000001110000003eb,6777792f676272777368656c6c2e6d7270000000000000000000000000000000000000000000000000002e00000000516777792f656d626368617267652e6d72
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1262,gwy/embcharge.mrp,,,70000000000000000000000000000000000000000000000000002e0000000051,6777792f656d626368617267652e6d7270000000000000000000000000000000000000000000000000003100000000016777792f636172646368617267652e6d
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1310,gwy/cardcharge.mrp,,,7000000000000000000000000000000000000000000000000000310000000001,6777792f636172646368617267652e6d727000000000000000000000000000000000000000000000000032000000000b6777792f6361636c6f6262792e6d7270
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1358,gwy/caclobby.mrp,,,727000000000000000000000000000000000000000000000000032000000000b,6777792f6361636c6f6262792e6d7270000000000000000000000000000000000000000000000000000035000000000e6777792f6361636368617267652e6d72
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1406,gwy/caccharge.mrp,,,000000000000000000000000000000000000000000000000000035000000000e,6777792f6361636368617267652e6d7270000000000000000000000000000000000000000000000000003900000000016777792f6361637461736b2e6d727000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1454,gwy/cactask.mrp,,,7000000000000000000000000000000000000000000000000000390000000001,6777792f6361637461736b2e6d72700000000000000000000000000000000000000000000000000000003950000000016777792f636163636861742e6d727000
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1502,gwy/cacchat.mrp,,,0000000000000000000000000000000000000000000000000000395000000001,6777792f636163636861742e6d72700000000000000000000000000000000000000000000000000000003380000000036777792f63616364647a616e692e6d72
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1550,gwy/cacddzani.mrp,,,0000000000000000000000000000000000000000000000000000338000000003,6777792f63616364647a616e692e6d7270000000000000000000000000000000000000000000000000003280000000066777792f6361637075626c69632e6d72
embedded_seed_cfg,gwy/gamelist.mrp::cfg.bin,1598,gwy/cacpublic.mrp,,,7000000000000000000000000000000000000000000000000000328000000006,6777792f6361637075626c69632e6d7270000000000000000000000000000000000000000000000000003300000000496777792f63616364647a2e6d72700000
